EpRewMean,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,ev_tdlam_before,EpisodesSoFar,TimeElapsed,loss_ent,loss_pol_surr,loss_vf_loss,TimestepsSoFar
0.06,5,710.19,0.0,0.0108579565,0.7743401527404785,1232,1020.6929478645325,1.1387169,-0.028274877,0.03155816,815104
-0.08,5,719.78,0.0,0.010378956,0.7595201879739761,1237,1024.2491247653961,1.1658576,-0.029079746,0.028460534,819200
-0.15,5,723.95,0.0,0.008835079,0.8186424225568771,1242,1027.654002904892,1.1549758,-0.02763293,0.031238414,823296
-0.07,6,725.8,0.0,0.009745226,0.7922365516424179,1248,1031.1594939231873,1.1327473,-0.028617041,0.034144748,827392
0.04,5,722.02,0.0,0.008716087,0.7772795259952545,1253,1034.81489777565,1.1747644,-0.028982917,0.027344849,831488
-0.04,6,727.8,0.0,0.009752289,0.8330026865005493,1259,1038.3465087413788,1.1817491,-0.027771102,0.023080308,835584
0.05,5,736.01,0.0,0.008146269,0.8028626888990402,1264,1041.8129489421844,1.1708313,-0.026399143,0.024385585,839680
-0.09,5,743.6,0.0,0.009322538,0.810920000076294,1269,1045.4021708965302,1.1778215,-0.030069314,0.025884463,843776
-0.03,6,742.79,0.0,0.009914342,0.8180072605609894,1275,1048.8708999156952,1.2104841,-0.03325355,0.022722006,847872
0.03,5,748.8,0.0,0.008566278,0.8245071768760681,1280,1052.4677000045776,1.1871115,-0.028620545,0.026060173,851968
0.01,4,750.77,0.0,0.010949421,0.792330875992775,1284,1055.8890099525452,1.1963682,-0.030360557,0.022777475,856064
0.13,6,749.54,0.0,0.0112882,0.8294171243906021,1290,1059.3989157676697,1.2127854,-0.0302226,0.022445286,860160
0.28,5,761.62,0.0,0.009173749,0.8444891721010208,1295,1062.7895538806915,1.2022974,-0.033317063,0.022956606,864256
0.29,5,765.57,0.0,0.0103627555,0.8286675363779068,1300,1066.2452478408813,1.2355927,-0.031630214,0.02150542,868352
